City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
106,San Miguelito,PA,9.0333,-79.5,78.55,90,40,3.44,scattered clouds,2022-07-26 01:19:03
107,Karwar,IN,14.8,74.1333,76.69,84,100,6.06,overcast clouds,2022-07-26 01:19:03
108,Nata,PA,8.3333,-80.5167,75.65,91,100,1.19,overcast clouds,2022-07-26 01:19:03
109,Hithadhoo,MV,-0.6,73.0833,82.65,75,41,12.39,scattered clouds,2022-07-26 01:15:21
110,Sokolo,ML,14.7328,-6.1219,84.0,60,22,5.7,few clouds,2022-07-26 01:19:04
111,Beringovskiy,RU,63.05,179.3167,44.91,83,100,4.79,overcast clouds,2022-07-26 01:19:04
112,Port Elizabeth,ZA,-33.918,25.5701,52.09,87,0,8.05,clear sky,2022-07-26 01:14:05
113,Jerez,GT,14.1,-89.75,67.59,94,100,1.86,overcast clouds,2022-07-26 01:19:05
114,Mahebourg,MU,-20.4081,57.7,67.24,88,40,3.44,scattered clouds,2022-07-26 01:15:53
115,Honiara,SB,-9.4333,159.95,87.26,62,17,8.72,few clouds,2022-07-26 01:14:54
116,Severodvinsk,RU,64.5635,39.8302,46.51,91,99,5.93,overcast clouds,2022-07-26 01:19:05
117,Tuatapere,NZ,-46.1333,167.6833,45.0,94,100,13.42,overcast clouds,2022-07-26 01:15:46
118,Seoul,KR,37.5683,126.9778,87.37,66,0,2.3,clear sky,2022-07-26 01:14:28
119,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,61.39,63,75,6.71,broken clouds,2022-07-26 01:19:06
120,Sovetskiy,RU,61.3614,63.5842,54.86,56,93,5.75,overcast clouds,2022-07-26 01:19:06
121,Mount Gambier,AU,-37.8333,140.7667,53.51,58,40,21.85,scattered clouds,2022-07-26 01:16:13
122,La Rioja,ES,42.25,-2.5,58.78,97,16,3.74,few clouds,2022-07-26 01:19:07
123,Pemangkat,ID,1.1667,108.9667,78.51,86,87,6.67,overcast clouds,2022-07-26 01:19:07
124,Kapaa,US,22.0752,-159.319,84.18,69,40,14.97,scattered clouds,2022-07-26 01:17:41
125,Rayevskaya,RU,44.8319,37.5556,68.92,86,15,4.97,light rain,2022-07-26 01:19:08
126,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,12.66,broken clouds,2022-07-26 01:19:08
127,Cayenne,GF,4.9333,-52.3333,83.08,7,0,3.44,clear sky,2022-07-26 01:19:09
128,Perelyub,RU,51.8667,50.3667,61.54,91,74,7.14,light rain,2022-07-26 01:19:09
129,Tiarei,PF,-17.5333,-149.3333,80.62,85,72,10.22,moderate rain,2022-07-26 01:19:10
130,Faanui,PF,-16.4833,-151.75,77.77,75,76,10.4,moderate rain,2022-07-26 01:19:10
131,Touros,BR,-5.1989,-35.4608,73.35,80,66,14.2,broken clouds,2022-07-26 01:19:11
132,Ewa Beach,US,21.3156,-158.0072,87.75,49,75,18.41,broken clouds,2022-07-26 01:17:14
133,Hobart,AU,-42.8794,147.3294,58.26,85,40,5.75,scattered clouds,2022-07-26 01:19:11
134,Yar-Sale,RU,66.8333,70.8333,49.98,76,11,18.52,few clouds,2022-07-26 01:18:12
135,Kpandae,GH,8.4689,-0.0113,73.47,82,100,2.33,overcast clouds,2022-07-26 01:19:12
136,Carnarvon,AU,-24.8667,113.6333,63.1,39,0,8.08,clear sky,2022-07-26 01:19:12
137,Inverness,GB,57.4791,-4.224,53.51,82,40,10.36,scattered clouds,2022-07-26 01:19:12
138,Yichang,CN,30.7144,111.2847,89.29,65,3,0.25,clear sky,2022-07-26 01:19:13
139,Micheweni,TZ,-4.9667,39.8333,73.29,82,99,11.59,overcast clouds,2022-07-26 01:19:13
140,Gat,IL,31.61,34.7642,78.4,69,0,1.61,clear sky,2022-07-26 01:19:13
